cbs_raw_player,cbs_rank,cbs_adp,cbs_hi_lo,cbs_pct_drafted
K. Sadiq  TE  NYJ  Abdomen: Questionable for Week 1 at Tennessee  Kenyon Sadiq  TE  NYJ  Abdomen: Questionable for Week 1 at Tennessee,186.0,162.88,118/206,34.1
E. Johnson  RB  KC  Emmett Johnson  RB  KC,187.0,162.91,122/203,30.4
.  DST  NO  Saints  DST  NO,188.0,163.18,123/206,33.3
E. Pineiro  K  SF  Eddy Pineiro  K  SF,189.0,163.3,122/203,62.5
C. Okonkwo  TE  WAS  Chigoziem Okonkwo  TE  WAS,190.0,164.58,121/205,30.9
K. Boutte  WR  HOU  Kayshon Boutte  WR  HOU,191.0,164.86,123/205,30.9
.  DST  BUF  Bills  DST  BUF,192.0,165.05,118/208,29.9
E. McPherson  K  CIN  Evan McPherson  K  CIN,193.0,165.06,124/206,57.1
T. Hockenson  TE  MIN  T.J. Hockenson  TE  MIN,194.0,165.51,117/213,25.5
.  DST  DAL  Cowboys  DST  DAL,195.0,165.54,116/211,26.3
C. Ridley  WR  TEN  Calvin Ridley  WR  TEN,196.0,165.92,129/205,31.5
C. Otton  TE  TB  Cade Otton  TE  TB,197.0,166.41,126/208,29.0
T. Dell  WR  HOU  Knee - ACL + MCL: Injured Reserve. Expected Return - Week 5  Tank Dell  WR  HOU  Knee - ACL + MCL: Injured Reserve. Expected Return - Week 5,198.0,167.01,121/211,25.7
G. Dulcich  TE  MIA  Dolphins' Greg Dulcich: Minimal preseason action  Greg Dulcich  TE  MIA  Dolphins' Greg Dulcich: Minimal preseason action,199.0,167.04,126/208,28.3
C. Santos  K  CHI  Cairo Santos  K  CHI,200.0,167.05,127/208,55.7
N. Folk  K  ATL  Nick Folk  K  ATL,201.0,167.15,120/215,20.0
W. Reichard  K  MIN  Will Reichard  K  MIN,202.0,167.77,122/211,46.7
.  DST  CLE  Browns  DST  CLE,203.0,167.78,127/208,27.2
A. Barner  TE  SEA  AJ Barner  TE  SEA,204.0,167.96,119/209,24.9
.  DST  KC  Chiefs  DST  KC,205.0,168.18,124/210,34.3
C. Kupp  WR  SEA  Cooper Kupp  WR  SEA,206.0,168.74,119/209,28.2
.  DST  GB  Packers  DST  GB,207.0,169.33,129/209,29.7
T. Loop  K  BAL  Tyler Loop  K  BAL,208.0,169.51,131/212,48.5
.  DST  CHI  Bears  DST  CHI,209.0,169.88,126/215,21.0
J. James  RB  SF  Jordan James  RB  SF,210.0,170.02,128/211,28.6
C. McLaughlin  K  TB  Chase McLaughlin  K  TB,211.0,170.22,130/212,45.9
J. Jennings  WR  MIN  Jauan Jennings  WR  MIN,212.0,170.9,132/209,26.8
J. Nailor  WR  LV  Jalen Nailor  WR  LV,213.0,171.35,128/212,23.1
W. Lutz  K  DEN  Wil Lutz  K  DEN,214.0,171.99,125/220,25.3
A. Borregales  K  NE  Andres Borregales  K  NE,215.0,174.43,133/222,22.4
