year,team,conference,elo,source_year
2020,Oklahoma State,Big 12,1742,2020
2020,Ole Miss,SEC,1614,2020
2020,Oregon,Pac-12,1797,2020
2020,Oregon State,Pac-12,1423,2020
2020,Penn State,Big Ten,1752,2020
2020,Pittsburgh,ACC,1564,2020
2020,Purdue,Big Ten,1455,2020
2020,Rice,Conference USA,1421,2020
2020,Rutgers,Big Ten,1339,2020
2020,San Diego State,Mountain West,1617,2020
2020,San José State,Mountain West,1519,2020
2020,SMU,American Athletic,1531,2020
2020,South Alabama,Sun Belt,1149,2020
2020,South Carolina,SEC,1335,2020
2020,Southern Miss,Conference USA,1290,2020
2020,South Florida,American Athletic,1126,2020
2020,Stanford,Pac-12,1486,2020
2020,Syracuse,ACC,1287,2020
2020,TCU,Big 12,1719,2020
2020,Temple,American Athletic,1206,2020
2020,Tennessee,SEC,1484,2020
2020,Texas,Big 12,1900,2020
2020,Texas A&M,SEC,1867,2020
2020,Texas State,Sun Belt,1154,2020
2020,Texas Tech,Big 12,1432,2020
2020,Toledo,Mid-American,1415,2020
2020,Troy,Sun Belt,1442,2020
2020,Tulane,American Athletic,1646,2020
2020,Tulsa,American Athletic,1538,2020
2020,UAB,Conference USA,1531,2020
2020,UCF,American Athletic,1722,2020
2020,UCLA,Pac-12,1525,2020
2020,UL Monroe,Sun Belt,902,2020
2020,UNLV,Mountain West,1134,2020
2020,USC,Pac-12,1692,2020
2020,Utah,Pac-12,1709,2020
2020,Utah State,Mountain West,1228,2020
2020,UTEP,Conference USA,1083,2020
2020,UTSA,Conference USA,1417,2020
2020,Vanderbilt,SEC,1088,2020
2020,Virginia,ACC,1513,2020
2020,Virginia Tech,ACC,1552,2020
2020,Wake Forest,ACC,1529,2020
2020,Washington,Pac-12,1724,2020
2020,Washington State,Pac-12,1517,2020
2020,Western Kentucky,Conference USA,1349,2020
2020,Western Michigan,Mid-American,1515,2020
2020,West Virginia,Big 12,1573,2020
2020,Wisconsin,Big Ten,1867,2020
2020,Wyoming,Mountain West,1584,2020
2021,Air Force,Mountain West,1725,2021
2021,Akron,Mid-American,895,2021
2021,Alabama,SEC,2219,2021
2021,App State,Sun Belt,1735,2021
2021,Arizona,Pac-12,1209,2021
2021,Arizona State,Pac-12,1671,2021
2021,Arkansas,SEC,1689,2021
2021,Arkansas State,Sun Belt,1143,2021
2021,Army,FBS Independents,1567,2021
2021,Auburn,SEC,1699,2021
2021,Ball State,Mid-American,1365,2021
2021,Baylor,Big 12,1785,2021
