year,throughSeasonType,throughWeek,team,conference,overall,offense,defense,offensePlays,defensePlays,modelVersion,source_year
2017,postseason,1,Georgia State,Sun Belt,-8.01,-4.77,3.23,605,561,core-v1,2017
2017,postseason,1,Maryland,Big Ten,-8.11,-0.16,7.95,627,732,core-v1,2017
2017,postseason,1,Coastal Carolina,Sun Belt,-8.28,-0.82,7.46,668,735,core-v1,2017
2017,postseason,1,Colorado,Pac-12,-8.49,-1.19,7.3,795,780,core-v1,2017
2017,postseason,1,Minnesota,Big Ten,-8.79,-5.64,3.15,688,679,core-v1,2017
2017,postseason,1,Western Kentucky,Conference USA,-8.88,-2.76,6.13,855,790,core-v1,2017
2017,postseason,1,Florida International,Conference USA,-9.52,0.96,10.48,774,767,core-v1,2017
2017,postseason,1,Rutgers,Big Ten,-9.89,-8.16,1.73,555,710,core-v1,2017
2017,postseason,1,Georgia Southern,Sun Belt,-10.2,-4.18,6.02,663,596,core-v1,2017
2017,postseason,1,Kansas,Big 12,-10.9,-5.73,5.17,676,671,core-v1,2017
2017,postseason,1,BYU,FBS Independents,-11.47,-10.9,0.57,723,773,core-v1,2017
2017,postseason,1,UL Monroe,Sun Belt,-11.71,7.58,19.29,803,861,core-v1,2017
2017,postseason,1,Nevada,Mountain West,-11.89,-1.21,10.67,619,757,core-v1,2017
2017,postseason,1,Tulsa,American Athletic,-12.93,-1.37,11.56,814,805,core-v1,2017
2017,postseason,1,Louisiana,Sun Belt,-13.43,-0.53,12.89,676,730,core-v1,2017
2017,postseason,1,UNLV,Mountain West,-13.55,1.37,14.92,688,727,core-v1,2017
2017,postseason,1,Illinois,Big Ten,-13.57,-9.07,4.5,672,814,core-v1,2017
2017,postseason,1,UConn,American Athletic,-13.74,-5.27,8.48,706,758,core-v1,2017
2017,postseason,1,Idaho,Sun Belt,-13.76,-11.67,2.09,707,725,core-v1,2017
2017,postseason,1,Texas State,Sun Belt,-14.2,-8.79,5.41,620,631,core-v1,2017
2017,postseason,1,New Mexico,Mountain West,-14.74,-8.41,6.34,626,625,core-v1,2017
2017,postseason,1,South Alabama,Sun Belt,-15.47,-15.23,0.23,662,727,core-v1,2017
2017,postseason,1,Oregon State,Pac-12,-16.21,-3.48,12.74,605,686,core-v1,2017
2017,postseason,1,Kent State,Mid-American,-16.21,-13.87,2.34,594,630,core-v1,2017
2017,postseason,1,Akron,Mid-American,-16.47,-12.46,4.0,718,868,core-v1,2017
2017,postseason,1,Bowling Green,Mid-American,-17.28,-2.6,14.68,655,745,core-v1,2017
2017,postseason,1,Old Dominion,Conference USA,-17.5,-11.55,5.96,665,707,core-v1,2017
2017,postseason,1,Hawai'i,Mountain West,-17.8,-3.18,14.61,676,677,core-v1,2017
2017,postseason,1,Rice,Conference USA,-18.66,-6.56,12.11,603,658,core-v1,2017
2017,postseason,1,Ball State,Mid-American,-18.82,-9.08,9.75,675,609,core-v1,2017
2017,postseason,1,East Carolina,American Athletic,-20.44,1.62,22.07,644,607,core-v1,2017
2017,postseason,1,Charlotte,Conference USA,-24.12,-17.17,6.96,597,750,core-v1,2017
2017,postseason,1,San José State,Mountain West,-25.45,-13.5,11.96,650,775,core-v1,2017
2017,postseason,1,UTEP,Conference USA,-26.79,-20.55,6.24,594,761,core-v1,2017
2018,postseason,1,Alabama,SEC,35.54,21.69,-13.85,742,635,core-v1,2018
2018,postseason,1,Clemson,ACC,31.74,11.81,-19.93,811,749,core-v1,2018
2018,postseason,1,Georgia,SEC,30.66,19.12,-11.54,749,721,core-v1,2018
2018,postseason,1,Oklahoma,Big 12,23.18,31.19,8.01,824,903,core-v1,2018
2018,postseason,1,Michigan,Big Ten,21.92,7.5,-14.42,771,639,core-v1,2018
2018,postseason,1,Mississippi State,SEC,18.86,1.86,-17.0,672,659,core-v1,2018
2018,postseason,1,Utah State,Mountain West,18.79,9.01,-9.77,670,714,core-v1,2018
2018,postseason,1,Ohio State,Big Ten,16.95,12.02,-4.93,1017,868,core-v1,2018
2018,postseason,1,Missouri,SEC,16.62,8.37,-8.25,835,764,core-v1,2018
2018,postseason,1,Florida,SEC,16.62,9.19,-7.42,717,675,core-v1,2018
2018,postseason,1,LSU,SEC,14.14,-0.12,-14.25,837,753,core-v1,2018
2018,postseason,1,Fresno State,Mountain West,14.12,3.88,-10.24,749,744,core-v1,2018
2018,postseason,1,UCF,American Athletic,14.1,13.5,-0.6,822,847,core-v1,2018
2018,postseason,1,Wisconsin,Big Ten,13.93,9.0,-4.93,810,737,core-v1,2018
2018,postseason,1,Cincinnati,American Athletic,13.53,0.23,-13.3,806,684,core-v1,2018
2018,postseason,1,Boise State,Mountain West,13.44,7.46,-5.98,893,728,core-v1,2018
2018,postseason,1,Texas A&M,SEC,13.09,8.33,-4.75,802,667,core-v1,2018
2018,postseason,1,Auburn,SEC,12.68,2.63,-10.05,712,768,core-v1,2018
2018,postseason,1,Notre Dame,FBS Independents,12.6,5.23,-7.37,891,862,core-v1,2018
2018,postseason,1,Washington,Pac-12,12.46,5.71,-6.75,854,819,core-v1,2018
2018,postseason,1,App State,Sun Belt,11.58,-0.91,-12.49,679,670,core-v1,2018
2018,postseason,1,Utah,Pac-12,10.84,0.13,-10.7,841,836,core-v1,2018
2018,postseason,1,Penn State,Big Ten,10.52,2.17,-8.35,819,868,core-v1,2018
2018,postseason,1,Iowa,Big Ten,10.0,-0.2,-10.2,741,705,core-v1,2018
2018,postseason,1,Iowa State,Big 12,9.13,4.01,-5.11,746,801,core-v1,2018
2018,postseason,1,Virginia,ACC,8.28,2.58,-5.7,760,739,core-v1,2018
2018,postseason,1,Ole Miss,SEC,8.07,12.71,4.64,722,739,core-v1,2018
2018,postseason,1,UAB,Conference USA,7.57,2.44,-5.13,772,739,core-v1,2018
2018,postseason,1,NC State,ACC,7.49,6.91,-0.57,803,674,core-v1,2018
2018,postseason,1,Kentucky,SEC,6.69,-0.23,-6.92,737,750,core-v1,2018
2018,postseason,1,Miami,ACC,6.52,-5.51,-12.03,694,709,core-v1,2018
2018,postseason,1,Texas,Big 12,6.47,4.28,-2.2,1020,955,core-v1,2018
2018,postseason,1,Memphis,American Athletic,5.59,8.07,2.48,874,909,core-v1,2018
2018,postseason,1,Arkansas State,Sun Belt,5.17,-0.99,-6.15,795,685,core-v1,2018
2018,postseason,1,Maryland,Big Ten,4.58,0.94,-3.64,652,757,core-v1,2018
2018,postseason,1,Nebraska,Big Ten,4.44,7.06,2.62,755,757,core-v1,2018
2018,postseason,1,West Virginia,Big 12,4.37,6.66,2.29,730,672,core-v1,2018
2018,postseason,1,Ohio,Mid-American,4.21,12.82,8.6,685,639,core-v1,2018
2018,postseason,1,Pittsburgh,ACC,4.21,2.48,-1.73,757,790,core-v1,2018
2018,postseason,1,Michigan State,Big Ten,4.14,-11.15,-15.29,954,861,core-v1,2018
2018,postseason,1,Georgia Southern,Sun Belt,3.95,3.38,-0.57,669,711,core-v1,2018
2018,postseason,1,Washington State,Pac-12,3.91,6.68,2.77,818,704,core-v1,2018
