batter,pitch_type,pitches,weighted_pitches,avg_xwoba,avg_exit_velo,swings,whiffs,balls_in_play,hard_hits,barrels,latest_year,whiff_per_swing,hard_hit_per_bip,barrel_per_bip
516782,CU,66,37.64999999999999,0.3661330230833091,82.95212765957447,20.6,5.4,8.700000000000001,6.050000000000001,1.1,2026,0.2621359223300971,0.6954022988505747,0.1264367816091954
516782,EP,2,1.1,0.803,91.8,0.55,0.0,0.55,0.0,0.0,2025,0.0,0.0,0.0
516782,FA,8,4.4,0.691497,48.949999999999996,1.1,0.0,0.0,0.0,0.0,2025,0.0,,
516782,FC,135,79.64999999999999,0.3529768479799133,80.4276,38.550000000000004,9.25,14.75,4.95,0.55,2026,0.2399481193255512,0.3355932203389831,0.03728813559322034
516782,FF,446,263.75,0.30655028851635485,80.77370320252595,135.54999999999998,15.650000000000002,49.45,24.75,1.1,2026,0.11545555145702696,0.5005055611729019,0.02224469160768453
516782,FS,35,21.5,0.2818932577319588,83.76666666666667,10.25,5.300000000000001,2.75,1.6500000000000001,0.0,2026,0.5170731707317073,0.6000000000000001,0.0
516782,KC,19,11.8,0.14027397260273972,88.21428571428571,5.8500000000000005,2.75,1.0,0.0,0.0,2026,0.47008547008547,0.0,0.0
516782,SI,218,125.74999999999997,0.2670501299589604,80.98306364617046,61.75,10.450000000000001,26.75,12.100000000000001,0.0,2026,0.16923076923076924,0.4523364485981309,0.0
516782,SL,208,118.89999999999998,0.26256001748251745,76.81351791530943,57.349999999999994,20.250000000000004,19.25,3.85,0.0,2026,0.35309503051438546,0.2,0.0
516782,ST,98,56.599999999999994,0.2934200119216577,74.89480874316938,33.05,9.8,8.05,3.75,1.0,2026,0.2965204236006052,0.4658385093167701,0.12422360248447203
516782,SV,10,5.5,0.23800000000000002,83.8,1.1,0.55,0.55,0.0,0.0,2025,0.5,0.0,0.0
516782,,23,12.650000000000006,,,6.6,1.6500000000000001,1.6500000000000001,0.0,0.0,2025,0.25000000000000006,0.0,0.0
518595,CH,78,54.15,0.09405076923076924,81.87614035087721,31.05,15.150000000000002,8.950000000000001,3.7500000000000004,0.0,2026,0.4879227053140097,0.41899441340782123,0.0
518595,CU,49,29.65,0.15993436153846152,83.66382978723405,14.100000000000001,6.5,3.2,1.55,0.0,2026,0.4609929078014184,0.484375,0.0
518595,FC,81,50.39999999999999,0.21710002180149163,83.4723602484472,30.45,11.8,6.5,2.6500000000000004,0.0,2026,0.38752052545155996,0.40769230769230774,0.0
518595,FF,313,191.04999999999998,0.28818374219433635,83.89538567493113,105.0,24.25,26.75,14.75,2.75,2026,0.23095238095238096,0.5514018691588785,0.102803738317757
518595,FS,24,13.200000000000001,0.0172,74.53333333333335,6.6000000000000005,3.3000000000000003,0.55,0.55,0.55,2025,0.5,1.0,1.0
518595,KC,21,11.550000000000004,0.3064192678571429,79.62000000000002,3.3,0.55,2.2,0.55,0.0,2025,0.16666666666666669,0.25,0.0
518595,SI,139,79.14999999999999,0.2920519998850522,82.60145560407571,44.7,9.25,17.950000000000003,8.7,0.0,2026,0.20693512304250558,0.48467966573816146,0.0
518595,SL,179,102.49999999999999,0.2782483260327836,80.9891304347826,47.55,21.700000000000003,12.100000000000001,6.600000000000001,0.0,2026,0.45636172450052587,0.5454545454545455,0.0
518595,ST,98,54.79999999999999,0.3363654704727008,79.98235294117647,28.5,7.7,8.25,2.75,0.55,2026,0.27017543859649124,0.3333333333333333,0.06666666666666667
518595,SV,6,3.3,0.007,81.1,2.75,1.6500000000000001,0.55,0.0,0.0,2025,0.6000000000000001,0.0,0.0
518595,,28,15.400000000000004,,,7.7,2.75,1.6500000000000001,0.0,0.0,2025,0.35714285714285715,0.0,0.0
518692,CH,332,204.64999999999998,0.32456096411771546,82.00770465489569,95.4,27.35,33.550000000000004,10.700000000000001,0.0,2026,0.28668763102725364,0.31892697466467956,0.0
518692,CS,1,0.55,,,0.0,0.0,0.0,0.0,0.0,2025,,,
518692,CU,242,147.04999999999995,0.3429210523016337,84.12250554323727,69.25,20.400000000000002,21.299999999999997,10.8,0.55,2026,0.2945848375451264,0.5070422535211269,0.02582159624413146
518692,FC,279,167.39999999999998,0.39073610630942096,81.95642553191492,82.10000000000001,18.5,27.450000000000003,13.35,1.1,2026,0.2253349573690621,0.4863387978142076,0.04007285974499089
518692,FF,998,610.9999999999999,0.3700680835796521,84.62478178368123,349.79999999999995,65.35,128.2,64.0,0.55,2026,0.1868210405946255,0.49921996879875197,0.004290171606864276
518692,FO,5,2.75,0.7347485,71.63333333333334,1.6500000000000001,0.0,0.55,0.0,0.0,2025,0.0,0.0,0.0
518692,FS,134,79.1,0.3161618031750712,86.19015444015444,38.900000000000006,9.350000000000001,15.0,8.600000000000001,0.0,2026,0.2403598971722365,0.5733333333333335,0.0
518692,KC,79,45.249999999999986,0.23837701640771206,79.6235294117647,19.6,10.25,3.8499999999999996,2.75,0.55,2026,0.5229591836734694,0.7142857142857143,0.14285714285714288
518692,PO,1,0.55,,,0.0,0.0,0.0,0.0,0.0,2025,,,
518692,SI,440,275.29999999999995,0.3822999080369555,86.93062871707734,151.29999999999998,26.0,68.6,37.150000000000006,1.6500000000000001,2026,0.17184401850627892,0.5415451895043734,0.02405247813411079
518692,SL,439,275.19999999999993,0.2859098238536202,82.07804054054057,128.9,47.400000000000006,36.6,15.649999999999999,2.2,2026,0.36772692009309543,0.42759562841530047,0.06010928961748634
518692,ST,186,108.14999999999998,0.3161221978774775,83.38573619631903,54.4,19.049999999999997,17.5,7.7,1.6500000000000001,2026,0.35018382352941174,0.44,0.09428571428571429
518692,SV,18,9.900000000000002,0.3534465,72.69999999999999,3.3000000000000003,2.2,0.0,0.0,0.0,2025,0.6666666666666666,,
518692,,41,27.05,,,0.0,0.0,0.0,0.0,0.0,2026,,,
518792,CH,45,24.750000000000004,0.0966,81.53333333333336,11.000000000000002,6.6000000000000005,2.75,0.55,0.0,2025,0.6,0.2,0.0
518792,CU,22,12.100000000000005,0.22688000000000003,82.74444444444445,5.5,0.55,3.8499999999999996,1.1,0.0,2025,0.1,0.28571428571428575,0.0
518792,FA,3,1.6500000000000001,0.235,60.050000000000004,1.1,0.0,0.55,0.0,0.0,2025,0.0,0.0,0.0
518792,FC,32,17.6,0.23014285714285723,79.2846153846154,7.700000000000001,0.55,4.4,1.1,0.55,2025,0.07142857142857142,0.25,0.125
518792,FF,120,65.99999999999999,0.26679399264705883,84.32083333333334,31.9,3.85,15.95,8.8,0.55,2025,0.1206896551724138,0.5517241379310346,0.03448275862068966
518792,FS,18,9.900000000000002,0.16820000000000002,82.14,7.15,3.3,1.1,0.55,0.0,2025,0.4615384615384615,0.5,0.0
518792,KC,15,8.25,0.0,65.3,3.3,1.6500000000000001,0.0,0.0,0.0,2025,0.5000000000000001,,
518792,SI,62,34.09999999999999,0.30479225925925924,85.51666666666665,10.450000000000003,0.55,8.25,4.4,0.0,2025,0.05263157894736841,0.5333333333333333,0.0
