gamePk,officialDate,gameDate,gameType,status,away_team,away_team_id,home_team,home_team_id,away_score,home_score,venue,venue_id,seriesDescription,gameNumber,home_days_since_last,away_days_since_last,total_runs,home_run_margin,current_h2h_books,current_spreads_books,current_totals_books
776457,2025-09-05,2025-09-05T23:05:00Z,R,Final,Toronto Blue Jays,141,New York Yankees,147,7.0,1.0,Yankee Stadium,3313,Regular Season,1,1.0,2.0,8.0,-6.0,,,
776458,2025-09-04,2025-09-04T23:35:00Z,R,Final,Cleveland Guardians,114,Tampa Bay Rays,139,2.0,4.0,George M. Steinbrenner Field,2523,Regular Season,1,1.0,1.0,6.0,2.0,,,
776459,2025-09-04,2025-09-04T20:10:00Z,R,Final,Philadelphia Phillies,143,Milwaukee Brewers,158,2.0,0.0,American Family Field,32,Regular Season,1,1.0,1.0,2.0,-2.0,,,
776460,2025-09-05,2025-09-05T23:15:00Z,R,Final,Seattle Mariners,136,Atlanta Braves,144,1.0,4.0,Truist Park,4705,Regular Season,1,2.0,2.0,5.0,3.0,,,
776461,2025-09-04,2025-09-04T22:40:00Z,R,Final,Los Angeles Dodgers,119,Pittsburgh Pirates,134,3.0,5.0,PNC Park,31,Regular Season,1,1.0,1.0,8.0,2.0,,,
776462,2025-09-04,2025-09-04T23:40:00Z,R,Final,Chicago White Sox,145,Minnesota Twins,142,11.0,8.0,Target Field,3312,Regular Season,1,1.0,1.0,19.0,-3.0,,,
776463,2025-09-04,2025-09-04T23:40:00Z,R,Final,Los Angeles Angels,108,Kansas City Royals,118,3.0,4.0,Kauffman Stadium,7,Regular Season,1,1.0,1.0,7.0,1.0,,,
776464,2025-09-04,2025-09-04T23:40:00Z,R,Final,New York Yankees,147,Houston Astros,117,8.0,4.0,Daikin Park,2392,Regular Season,1,1.0,1.0,12.0,-4.0,,,
776465,2025-09-03,2025-09-03T20:10:00Z,R,Final,Baltimore Orioles,110,San Diego Padres,135,7.0,5.0,Petco Park,2680,Regular Season,1,1.0,1.0,12.0,-2.0,,,
776466,2025-09-03,2025-09-03T23:40:00Z,R,Final,Los Angeles Angels,108,Kansas City Royals,118,4.0,3.0,Kauffman Stadium,7,Regular Season,1,1.0,1.0,7.0,-1.0,,,
776467,2025-09-03,2025-09-04T00:40:00Z,R,Final,San Francisco Giants,137,Colorado Rockies,115,10.0,8.0,Coors Field,19,Regular Season,1,1.0,1.0,18.0,-2.0,,,
776468,2025-09-03,2025-09-03T19:40:00Z,R,Final,Texas Rangers,140,Arizona Diamondbacks,109,0.0,2.0,Chase Field,15,Regular Season,1,1.0,1.0,2.0,2.0,,,
776469,2025-09-03,2025-09-03T23:40:00Z,R,Final,Chicago White Sox,145,Minnesota Twins,142,4.0,3.0,Target Field,3312,Regular Season,1,1.0,1.0,7.0,-1.0,,,
776470,2025-09-03,2025-09-03T23:45:00Z,R,Final,Athletics,133,St. Louis Cardinals,138,1.0,5.0,Busch Stadium,2889,Regular Season,1,1.0,1.0,6.0,4.0,,,
776471,2025-09-03,2025-09-03T23:40:00Z,R,Final,Philadelphia Phillies,143,Milwaukee Brewers,158,3.0,6.0,American Family Field,32,Regular Season,1,2.0,2.0,9.0,3.0,,,
776472,2025-09-03,2025-09-04T00:10:00Z,R,Final,New York Yankees,147,Houston Astros,117,7.0,8.0,Daikin Park,2392,Regular Season,1,1.0,1.0,15.0,1.0,,,
776473,2025-09-03,2025-09-03T23:40:00Z,R,Final,Atlanta Braves,144,Chicago Cubs,112,5.0,1.0,Wrigley Field,17,Regular Season,1,1.0,1.0,6.0,-4.0,,,
776474,2025-09-03,2025-09-03T22:45:00Z,R,Final,Cleveland Guardians,114,Boston Red Sox,111,8.0,1.0,Fenway Park,3,Regular Season,1,1.0,1.0,9.0,-7.0,,,
776475,2025-09-03,2025-09-03T22:40:00Z,R,Final,Toronto Blue Jays,141,Cincinnati Reds,113,13.0,9.0,Great American Ball Park,2602,Regular Season,1,1.0,1.0,22.0,-4.0,,,
776476,2025-09-03,2025-09-03T23:35:00Z,R,Final,Seattle Mariners,136,Tampa Bay Rays,139,4.0,9.0,George M. Steinbrenner Field,2523,Regular Season,1,1.0,1.0,13.0,5.0,,,
776477,2025-09-03,2025-09-03T17:05:00Z,R,Final,Miami Marlins,146,Washington Nationals,120,5.0,10.0,Nationals Park,3309,Regular Season,1,1.0,1.0,15.0,5.0,,,
776478,2025-09-03,2025-09-03T17:10:00Z,R,Final,New York Mets,121,Detroit Tigers,116,2.0,6.0,Comerica Park,2394,Regular Season,1,1.0,1.0,8.0,4.0,,,
776479,2025-09-03,2025-09-03T22:40:00Z,R,Final,Los Angeles Dodgers,119,Pittsburgh Pirates,134,0.0,3.0,PNC Park,31,Regular Season,1,1.0,1.0,3.0,3.0,,,
776480,2025-09-02,2025-09-03T01:40:00Z,R,Final,Baltimore Orioles,110,San Diego Padres,135,6.0,2.0,Petco Park,2680,Regular Season,1,1.0,1.0,8.0,-4.0,,,
776481,2025-09-02,2025-09-03T01:40:00Z,R,Final,Texas Rangers,140,Arizona Diamondbacks,109,3.0,5.0,Chase Field,15,Regular Season,1,1.0,1.0,8.0,2.0,,,
776482,2025-09-02,2025-09-02T22:45:00Z,R,Final,Miami Marlins,146,Washington Nationals,120,2.0,5.0,Nationals Park,3309,Regular Season,1,1.0,1.0,7.0,3.0,,,
776483,2025-09-02,2025-09-02T23:45:00Z,R,Final,Athletics,133,St. Louis Cardinals,138,1.0,2.0,Busch Stadium,2889,Regular Season,1,1.0,1.0,3.0,1.0,,,
776484,2025-09-02,2025-09-02T23:40:00Z,R,Final,Chicago White Sox,145,Minnesota Twins,142,12.0,3.0,Target Field,3312,Regular Season,1,1.0,1.0,15.0,-9.0,,,
776485,2025-09-02,2025-09-02T23:35:00Z,R,Final,Seattle Mariners,136,Tampa Bay Rays,139,5.0,6.0,George M. Steinbrenner Field,2523,Regular Season,1,1.0,1.0,11.0,1.0,,,
776486,2025-09-02,2025-09-03T00:40:00Z,R,Final,San Francisco Giants,137,Colorado Rockies,115,7.0,4.0,Coors Field,19,Regular Season,1,1.0,1.0,11.0,-3.0,,,
776487,2025-09-02,2025-09-02T23:40:00Z,R,Final,Atlanta Braves,144,Chicago Cubs,112,3.0,4.0,Wrigley Field,17,Regular Season,1,1.0,1.0,7.0,1.0,,,
776488,2025-09-02,2025-09-02T23:40:00Z,R,Final,Los Angeles Angels,108,Kansas City Royals,118,5.0,1.0,Kauffman Stadium,7,Regular Season,1,2.0,1.0,6.0,-4.0,,,
776489,2025-09-02,2025-09-03T00:10:00Z,R,Final,New York Yankees,147,Houston Astros,117,7.0,1.0,Daikin Park,2392,Regular Season,1,1.0,2.0,8.0,-6.0,,,
776490,2025-09-02,2025-09-02T22:40:00Z,R,Final,New York Mets,121,Detroit Tigers,116,12.0,5.0,Comerica Park,2394,Regular Season,1,1.0,1.0,17.0,-7.0,,,
776491,2025-09-02,2025-09-02T22:40:00Z,R,Final,Toronto Blue Jays,141,Cincinnati Reds,113,12.0,9.0,Great American Ball Park,2602,Regular Season,1,1.0,1.0,21.0,-3.0,,,
776492,2025-09-01,2025-09-01T20:10:00Z,R,Final,San Francisco Giants,137,Colorado Rockies,115,8.0,2.0,Coors Field,19,Regular Season,1,1.0,1.0,10.0,-6.0,,,
776493,2025-09-02,2025-09-02T22:45:00Z,R,Final,Cleveland Guardians,114,Boston Red Sox,111,7.0,11.0,Fenway Park,3,Regular Season,1,1.0,1.0,18.0,4.0,,,
776494,2025-09-01,2025-09-01T22:40:00Z,R,Final,Baltimore Orioles,110,San Diego Padres,135,4.0,3.0,Petco Park,2680,Regular Season,1,1.0,1.0,7.0,-1.0,,,
